Global_Frame_ID,Object_ID,Centroid_X,Centroid_Y,Size_Pixels,Size_um2
44,11,191,149,1154,121.142304
44,12,300,59,1357,142.452432
44,13,319,239,1217,127.755792
44,14,329,276,1059,111.169584
44,15,537,57,1090,114.42384
44,16,425,373,1251,131.324976
45,1,314,312,927,97.312752
45,2,503,23,1104,115.893504
45,4,127,519,1482,155.574432
45,5,582,170,1728,181.398528
45,6,499,249,1236,129.750336
45,7,659,53,1010,106.02576
45,8,493,609,1463,153.579888
45,10,968,365,1085,113.89896
45,11,201,142,1152,120.932352
45,12,303,50,1361,142.872336
45,13,327,233,1171,122.926896
45,14,335,269,1037,108.860112
45,15,527,51,994,104.346144
45,16,428,361,1259,132.164784
46,1,320,324,1029,108.020304
46,2,502,23,724,76.002624
46,4,123,533,1424,149.485824
46,5,586,172,1712,179.718912
46,6,502,246,1262,132.479712
46,7,656,44,1013,106.340688
46,8,487,618,1484,155.784384
46,10,980,374,1029,108.020304
46,11,215,137,1187,124.606512
46,12,309,41,1349,141.612624
46,13,337,226,1242,130.380192
46,14,344,264,1061,111.379536
46,15,522,53,499,52.383024
46,16,430,350,1268,133.109568
47,1,325,336,1067,112.009392
47,2,504,33,786,82.511136
47,4,118,546,1474,154.734624
47,5,590,172,1776,186.437376
47,6,506,240,1222,128.280672
47,7,652,33,1006,105.605856
47,8,479,627,1502,157.67395199999999
47,10,990,381,1009,105.920784
47,11,224,130,1201,126.076176
47,12,312,31,1329,139.513104
47,13,347,218,1215,127.54584
47,14,351,257,1051,110.329776
47,15,508,43,1571,164.917296
47,16,434,337,1219,127.965744
48,1,328,349,1135,119.14776
48,2,510,48,1836,192.735936
48,4,112,558,1480,155.36448
48,5,595,172,1715,180.03384
48,6,512,236,1265,132.79464
48,7,648,23,1027,107.810352
48,8,471,636,1444,151.585344
48,10,1001,387,919,96.472944
48,11,235,125,1135,119.14776
48,12,317,23,1278,134.159328
48,13,356,211,1196,125.551296
48,14,363,252,1077,113.059152
48,15,508,47,1993,209.217168
48,16,436,326,1200,125.9712
49,1,333,363,1189,124.816464
49,2,523,64,1315,138.04344
49,4,108,570,1428,149.905728
49,5,599,172,1734,182.028384
49,6,518,231,1249,131.115024
49,7,642,16,915,96.05304
49,8,465,645,1425,149.5908
49,10,1010,393,896,94.058496
49,11,242,121,1161,121.877136
49,12,321,15,975,102.3516
49,13,365,204,1209,126.915984
49,14,371,248,1029,108.020304
49,15,484,36,1118,117.363168
49,16,436,315,1175,123.3468
50,1,337,376,1196,125.551296
50,2,529,75,1321,138.673296
50,4,103,581,1474,154.734624
50,5,604,170,1784,187.277184
50,6,523,225,1257,131.954832
50,7,639,11,674,70.753824
50,8,458,656,1451,152.320176
50,10,1017,398,894,93.848544
50,11,255,114,1153,121.037328
50,12,324,11,703,73.798128
50,13,376,195,1299,136.363824
50,14,379,242,1055,110.74968
50,15,474,33,1108,116.313408
50,16,435,301,1149,120.617424
51,1,338,388,1158,121.562208
51,2,533,84,1323,138.883248
51,4,99,595,1315,138.04344
51,5,607,169,1751,183.812976
51,6,528,219,1272,133.529472
51,7,635,7,468,49.128768
51,8,454,666,1383,145.181808
51,10,1024,401,889,93.323664
51,11,265,109,1171,122.926896
51,12,327,6,368,38.631168
51,13,385,185,1250,131.22
51,14,387,237,1071,112.429296
51,15,463,32,1119,117.468144
51,16,435,287,1133,118.937808
52,1,336,394,1142,119.882592
52,2,537,95,1349,141.612624
52,4,95,605,1338,140.457888
52,5,611,167,1767,185.492592
52,6,534,213,1291,135.524016
52,7,630,4,247,25.929072
52,8,449,677,1433,150.430608
52,10,1033,405,937,98.362512
52,11,276,103,1157,121.457232
52,12,328,3,138,14.486688
52,13,396,176,1213,127.335888
52,14,395,231,1034,108.545184
52,15,452,33,1111,116.628336
52,16,434,274,1053,110.539728
53,1,333,402,1033,108.440208
53,2,540,104,1309,137.413584
53,4,91,616,1435,150.64056
53,5,614,164,1674,175.729824
53,6,538,206,1312,137.728512
53,7,627,1,69,7.243344
53,8,446,686,1359,142.662384
53,10,1043,408,969,101.721744
53,11,286,95,1170,122.82192
53,13,404,165,1209,126.915984
53,14,404,223,1034,108.545184
53,15,442,33,1107,116.208432
53,16,433,261,1007,105.710832
54,1,328,417,929,97.522704
54,2,543,114,1364,143.187264
54,4,87,629,1552,162.922752
54,5,617,161,1751,183.812976
54,6,542,199,1313,137.833488
54,8,441,696,1352,141.927552
54,10,1054,411,1027,107.810352
54,11,296,90,1140,119.67264
54,13,416,155,1182,124.081632
54,14,411,217,1060,111.27456
54,15,431,33,1130,118.62288
54,16,431,249,1000,104.976
55,1,320,431,918,96.367968
55,2,546,123,1329,139.513104
55,4,84,639,1685,176.88456
55,5,620,157,1787,187.592112
55,6,546,190,1299,136.363824
55,8,438,701,1127,118.307952
55,10,1065,413,1116,117.153216
55,11,304,80,1152,120.932352
55,13,425,146,1234,129.540384
55,14,418,208,1001,105.080976
55,15,418,34,1156,121.352256
55,16,430,239,838,87.969888
56,1,316,443,950,99.7272
56,2,548,132,1359,142.662384
56,4,81,651,1814,190.426464
56,5,622,153,1770,185.80752
56,6,550,183,1296,136.048896
56,8,435,706,789,82.826064
56,10,1075,415,1035,108.65016
56,11,312,71,1166,122.402016
56,13,436,136,1227,128.805552
56,14,424,201,959,100.671984
56,15,410,34,1161,121.877136
56,16,429,229,767,80.516592
57,1,315,450,944,99.097344
57,2,548,135,1274,133.739424
57,4,80,656,1846,193.785696
57,5,623,150,1787,187.592112
57,6,551,179,1248,131.010048
57,8,432,708,660,69.28416
57,10,1080,415,1022,107.285472
57,11,314,67,1163,122.087088
57,13,440,131,1201,126.076176
57,14,427,195,964,101.196864
57,15,402,33,1185,124.39656
57,16,428,222,799,83.875824
58,1,313,462,901,94.583376
58,2,547,139,980,102.87648
58,4,79,668,1874,196.725024
58,5,626,146,1799,188.851824
58,6,553,173,1154,121.142304
58,8,429,712,388,40.730688
58,10,1090,417,1014,106.445664
58,11,320,57,1185,124.39656
58,13,449,123,1231,129.225456
58,14,432,187,1107,116.208432
58,15,392,33,1152,120.932352
58,16,427,212,678,71.173728
59,1,313,479,883,92.693808
59,2,550,153,1283,134.684208
59,4,78,687,1765,185.28264
59,5,627,140,1782,187.067232
59,6,553,158,1630,171.11088
59,8,422,718,32,3.359232
59,10,1108,423,893,93.743568
59,11,327,43,1193,125.236368
59,13,465,108,1234,129.540384
59,14,439,175,1186,124.501536
59,15,376,35,1125,118.098
59,16,426,187,976,102.456576
60,1,314,490,967,101.511792
60,2,549,162,1521,159.668496
60,4,76,698,1364,143.187264
60,5,627,136,1706,179.089056
60,6,552,158,1945,204.17832
60,10,1119,427,852,89.439552
60,11,332,30,1153,121.037328
